,poem name,content,type
0,Why Is We Americans,"We is gator teeth hanging from the rear-
view mirror as sickle cells suckle at Big
Momma’s teats. We is dragonfly
choppers hovering above Walden Pond.
We is spinal cords shedding like the skin
of a cottonmouth. We is Psalm 23 and
the Pastor’s chattering chicklets. We is
a good problem to have. We is throats
constricting and the grape juice
of Jesus. We is Roach and Mingus in
Birdland. We is body electric, eyes
watering with moonshine, glossy lips
sticky with lard. We is half brothers in
headlock, arm-wrestling in the dirt.
We is Vaseline rubbed into knocked
knees and cracked elbows. We is ham
hocks making love to kidney beans. We
is Orpheus, lute in hand, asking do we
have a problem? We is the backstory
of myth. We is sitting horse and crazy
bull. We is brown paper bags and
gurgled belches. We is hooded ghosts
and holy shadows roaming Mississippi
goddamned. We is downbeats and
syncopation’s cousin. We is mouths
washed out with the blood of the lamb.
We is witch-hazel-coated backs sucking
on peppermint wrappers. We is the
spiked antennas of a triangle face
praying mantis. We is barefoot
tongue-tied hogs with slit throats and
twitching bellies. We is sun tea and
brewed bitches. We is the crying
pussies that stand down when told to
man up. We is Radio Raheem and Zoot
Suit Malcolm. We is spit-slick low cuts
and fades. We is scrappy black-masked
coons and turkey-necked bullfrogs. We
is the pits of arms at stake, the clouds
frothing at the mouth. We is swimmers
naked, private parts allegedly fondled
by Whitman beneath the water. We is
late lurkers and castrated tree limbs
on the Sunday before last. We is red-
veined pupils and piss-stained knickers,
slack-jawed and slumped in the
bathroom doorway. We is whiplash
and backhanded ways of settling grief.
We is clubbin’ woolly mammoths
upside the head, jammin’ fingers in
Darwin’s white beard. We is comin’
round yonder, pigeon-toed and
bowlegged, laughin’ our heads off.
We is lassoed cowboys swingin’ in
the sweet summer breeze.",Art and Science
1,Psalm,"I amuse myself with my country.
     I glimpse its future approaching on the eyelashes of an ostrich, I toy with its history and its days, I strike it with stones and thunderbolts. I extinguish its lamps and light its windows, and at the other end of day I inaugurate its history.

I am a stranger to all of you. I am from the other end. I live in a country of my own, inflating the sky to see its ashes, and in sleeping and waking I open a bud to live within.

Something must be born, so I bore caverns in my skin for lightning and build nests. I must pass like thunder into lips as sad as straw, between stone and autumn, between pore and epidermis, between thigh and thigh.
      And so I sing: “Form worthy of our demise—advance.”
     And so I shout and sing: “Who will give us the maternity of the cosmos, who will nourish us with mines?”

I advance toward my self, toward ruins. The silence of calamity takes me—I’m too short to gird the earth like a rope, I’m not sharp enough to pierce the face of history and plunge in.

You want me to be like you. You boil me in the cauldron of your prayers; you mix me with the broth of armies and the pepper of tyrants, then pitch me like a tent for the wali and hoist my skull like a flag.
     (My death,
     Nevertheless I run toward you, I rush rush rush to you.)

You live like flagstones, and lamentation is your air. You announce the hedgehog’s abode and sleep on the scarab’s censers—your children are immolations.

A distance as great as a mirage divides us.

I rouse hyenas in you, I rouse the gods. I sow sedition in you and suckle fever, then teach you to journey without a guide. I am a pole for your latitudes and a walking springtime. I am a convulsion in your throats, a hemorrhage in your words.


You advance like leprosy toward me, and I am the one bound to your dirt. Yet nothing unites us, everything divides us—so let me burn alone, let me pass through you like a spear of light.
     I cannot live with you, I cannot live without you. You are an undulation in my senses, and I cannot escape you. Even so, cry out, “The sea, the sea!” Even so, hang the beads of the sun on your thresholds.

Open my memory and study my face beneath its words, learn my alphabet. When you see foam weaving my flesh and stone flowing in my blood, you will see me.
      I am closed like a tree trunk, present and ungraspable like air. Thus I cannot surrender to you.

I was born in the sockets of lilacs, I grew in the orbits of lightning, I live with light and grass. I storm and I clear up, I shine and cloud over, I rain and snow—the hours are my language, and my country is day.

The people are sleeping, but if they die they’ll awaken, or so it was said. You are all sleeping, but if you awaken you’ll die, or so it shall be said.
     You are dirt on my windowpanes, and I must remove you. I am the coming morning and the map that draws itself.

Nevertheless, there’s a fever in my bowels that keeps vigil over you.
     Nevertheless, I await you,
     In the shell of night by the sea, in the roaring of the depths, in the holes in the robe of the sky, in the jujubes and acacias, in the pines and cedars, in the hearts of the waves, in the salt,
      I await you.

  Translated from the Arabic",Art and Science
2,The Heart Shows No Signs,"The heart, the surgeon says, does not reveal
the small rifts, the hairline cracks which

split the hairline cracks they conceal cops
and robbers in a stretch of skin flaunting

star-scars with show of blood bone
the ledges of what it holds tight in checkmate

moves: bend this and break
fight first and bleed to earn

needle  finger  wrap  caress  balm
the salvation of sight   Behold what beauty

lasts, what outlasts itself    The curtain
calls the ovation    Seize the beginning

that ends this way: off center stage above
fractured ribs the heart succumbs in silence

All is dark. Listen      a kommos sung solo
It is too late to repair anything.",Art and Science
3,Glory Be to the Gang Gang Gang,"In praise of all that is honest, call upon the acrylic tips
and make a minaret out of a middle finger, gold-dipped
and counting. In the name of Filet-O-Fish, pink lemonade,
the sweat on an upper lip, the backing swell and ache
of Abdul Basit Abdus Samad on cassette tape, a clean jump shot,
the fluff of Ashanti’s sideburns, the rice left in the pot
the calling cards and long waits, the seasonal burst
of baqalah-bought dates.

Every time they leave and come back
alive.

Birthmarks shaped like border disputes.
Black sand. Shah Rukh’s dimples, like bullets
taking our aunts back to those summer nights,
these blessings on blessings on blessings.

Give me the rub of calves,
rappers sampling jazz,
the char of frankincense
and everything else that makes sense
in a world that don’t.",Art and Science
4,"Brother as Younger Self, Humming","The streets of Shobra are still traced
with music from years ago—
children ripping
the clothes off lines,
pins scattering in a rounded clatter
of sharp-throated wooden notes.
It might have been a merging
of Mohamed Fouad
and Mohamed Mohy
or Mohamed Fawzi,
and my brother (also a Mohamed)
is sitting in the shimmering corner
of our grandma’s balcony with one leg up.
He wants to finish this one song
because it has his favorite parts,
which he has rewound a few times now,
and Mahmoud is downstairs again
yelling, holding a peeling board game
they taped together, and my brother’s eyes glint
over to the chorus, remembering how Mahmoud
once told him how his father comes home
only once a month, and he feels bad
he is taking so long to go downstairs
but this would be the last time
he rewinds the song, Mahmoud, wallahi,
he yells, the cassette player’s volume
on high but not loud enough
to drown out the street-market prices,
the chatter of bent men
at the coffeehouse, their fingers caterpillar-like
through the mugs, blowing
on clouded tea,
but the music is just enough
to shroud it all in the blur
of a filmy fog that Mahmoud can hear
and he can’t help but remember
how sometimes at night,
if he closes his eyes hard enough,
he hears the din of keys
against the door,
the whistling of a man
nearly always caught
in the middle
of an unfinished song.",Art and Science
5,Bel Canto,"The opera
In her head

Runs with no interval,
A lot of people singing tunelessly

About the same things.
An overheard

Comment like
A rotting peach.

The overzealous
Cockatoo of her impatience,

Flap flap. The slab
Of blue behind her

Is a sea of
Her doubts. The squirrel

In her stomach
Trying to get out—

They say you have to be
Twice as good. They say

There are pills
For everything now. Enamel

Eyes to see all
The better with, my

Dear. Fur coat
For your tongue—",Art and Science
6,The Thing Written,"The thing written is a sexual thing,
may bite, tell a truth some have died for,
even the most casual initialing
is a touch of love and what love goes for.
A sometime thing, it smiles or has an ugly grin,
on the page or wall may be holy and a sin.
Writing wants, must have, must know,
is flesh, blood, and bone,
proof we are not made to be alone.
Beneath a dove and rainbow
some bank their fire,
wrap their erogenous zones in barbed wire.

Writing may dance in ink flamenco,
kneel before the cross, right
wrongs, fall in love at first sight,
honor the naked languages it holds tight,
kidnap, suck or be sucked for hire,
may look and look or sneak a look,
it has eyes, can read, is remarkable.
From the tower of sexual babble,
when dreams were the beginning of writing,
the angel of dreams descended, stair by stair,
the stone watchtower became the first stone book.

Writing never speaks word, may ache to talk,
and yet each letter of any alphabet
is a fragment of desire,
like half and quarter notes on a staff, or a hawk,
may swoop down, fly higher and higher
to catch a word, and then another word.
The sexual thing may be all love or malice,
eunuchs writing in the Forbidden Palace
where poets dressed in rags, or silk and lace.
The thing written touches, kisses, cuddles,

may be democratic, autocratic, medieval
in the 21st century, feudal, imperial, animal,
sexually digital, a Serf, a King, a Queen,
la chose écrite est une chose sexuelle.
I had a woman beautiful as the letter   l.
There is the passion of letters, each may mean
another thing, be defaced, after a while.
Writing leans forward,
there is a certain optimism in the written word,
a sexual sunrise that is not daybreak.
Words, words, a carnival of wordplay
on St. Nobody’s Day.
Reader, look, there is an S, a snake
on the cross of the letter T.
The letter of love is still the open-legged V.
How can I dot the i with humanity?",Art and Science
7,Ode to the Belt Sander & This Cocobolo Sapwood,"The belt kicks on with a whir & the whir
licks the end grain of the offcut with a hint

of  hesitation. A small wind of ochre dust
sweeps off the belt before the belt comes back

to where it was. The whole room swells
with the scent of cinnamon & desire.

How imprecise the smell of desire.

The wood takes on a sheen, a gloss
the grain can live behind without worry

of  being forgotten. A single knot blinks
out of the small block and becomes

the eye of a hummingbird, its beak
bending around the edge of the wood,

its small song captured in the annular rings.
To think, this block was tossed in

with the scraps. That the bird
could have been lost. Or burned.",Art and Science
8,The Solitary Land,"I inhabit these fugitive words,
I live, my face my face’s lone companion,
And my face is my path,

In your name, my land
That stands tall, enchanted and solitary;
In your name, death, my friend.
 
Translated from the Arabic",Art and Science
9,"Not for You, Not for the World","Because a little reprieve, a little hope (even for those whom I love)
would exculpate the world of  its actions, I hold to logic steadfast.
Belief, without knowledge, dislodges perception of all the empirical world
— (even for you, mom and dad). Know that if, for you, on some filthy lie
I could wish for the mind’s persistence after death, I would say no.",Art and Science
