Afterword,"Chile, chocolate, coyote, guacamole, mezcal, peyote,
tomato, ocelot, tequila—the words survive months of siege,
240,000 dead in Tenochtitlan. The Place of Herons,
a place of whiteness, did not survive. Duende, a tiny face
in a calla lily, survived. A bowl decorated with scorpion
and pelican survived. Clay faces full of shadow. Sculptors
who understood light, how it addresses the afterlife,
expecting a great dark to fall.",Art and Science
Bel Canto,"The opera
In her head

Runs with no interval,
A lot of people singing tunelessly

About the same things.
An overheard

Comment like
A rotting peach.

The overzealous
Cockatoo of her impatience,

Flap flap. The slab
Of blue behind her

Is a sea of
Her doubts. The squirrel

In her stomach
Trying to get out—

They say you have to be
Twice as good. They say

There are pills
For everything now. Enamel

Eyes to see all
The better with, my

Dear. Fur coat
For your tongue—",Art and Science
"Brother as Younger Self, Humming","The streets of Shobra are still traced
with music from years ago—
children ripping
the clothes off lines,
pins scattering in a rounded clatter
of sharp-throated wooden notes.
It might have been a merging
of Mohamed Fouad
and Mohamed Mohy
or Mohamed Fawzi,
and my brother (also a Mohamed)
is sitting in the shimmering corner
of our grandma’s balcony with one leg up.
He wants to finish this one song
because it has his favorite parts,
which he has rewound a few times now,
and Mahmoud is downstairs again
yelling, holding a peeling board game
they taped together, and my brother’s eyes glint
over to the chorus, remembering how Mahmoud
once told him how his father comes home
only once a month, and he feels bad
he is taking so long to go downstairs
but this would be the last time
he rewinds the song, Mahmoud, wallahi,
he yells, the cassette player’s volume
on high but not loud enough
to drown out the street-market prices,
the chatter of bent men
at the coffeehouse, their fingers caterpillar-like
through the mugs, blowing
on clouded tea,
but the music is just enough
to shroud it all in the blur
of a filmy fog that Mahmoud can hear
and he can’t help but remember
how sometimes at night,
if he closes his eyes hard enough,
he hears the din of keys
against the door,
the whistling of a man
nearly always caught
in the middle
of an unfinished song.",Art and Science
Fire-Taking,"                                              Aztec girl twisting her hair into a braid
                                              when the army arrives.
She sees them in her citadel,

her nickname for the city
                                              forgotten by her mouth’s mind.

The Spanish writer who keeps the oldest codex saw grief

when the papers of the people’s prayers were burned by the soldiers.

Havoc, my freedom, without a history I invent my own.

Say I am of many faces,
neither white nor brown,
                                                                            say violet,

                             the color that speaks like violence.

Legacy sounds like lost at sea.

              Say it wasn’t precious to me, identity.
              Strange, dangerous innocence.
              The earth is an onion strung with lights, my eyes sting
                                                                                          from the blaze.
A gold hawk joins

              the ring of fox in heavy dew around me early and I
am part of their wet ritual in my wish

                                                            to turn from what is human, even

knowing it was hawk who stole the woodpecker’s redheaded flight.",Art and Science
geography test,"the archivist         enters the room
with a    bag of oranges

she    
broke one on                 the walk over
her shirt tucked        under bra          strings
of     juice
draw down         her chin


he
is sitting at the         table when  she enters
facing the     open window     that
exits  to
a     skyline
licked with     fog        a thick cover    of


buildings    hang       from the clouds


she hasn’t yet          learnt
to              know words &
not their          meaning

camera
spills
through the         gaps in her teeth   
lands       within the    hollow    
that     turns to      plump
breast;
meeting place

her father walks      to the kitchen sink
empties the steaming        jug into   terra-cotta bowl
steeps      the dried khat
until it   turns         to tea


they say the leaf of God
conjures        old ghosts
but  he weathers     the nightmares
for      the         memories

the children
marching     in     twos past
where  he     stood cutting    leaf & cane


the  eldest      of twelve
first       from his      village to
enter   university
swallowed       the language     
of    three       colonizers

afaan  oromo he
kept
hidden in the    secret of his cheeks


she    thought
everything     unknowable    stayed
hallowed    in    transit

the crackle of      scalded onions
  &      oil
her     aunty covered    in gold  & satin
towering   over    gleaming    blue
hands     filled
with      wood   &    metal


as   the      doctor
eased    her     knees open
back       pressed against
white   linen
imitation      cotton
forced  against      her  meat

she     found
etched         onto
ceiling

two      mountains   
estranged by
migrant ash       white
like the      dripped
seed    of the poplar   in spring
clotted       between the
blackened                   roots
of      Odaa     Nabee
the sound       of thunder
kindling           the    floodplain;
meeting place


he takes        his seat
at the    table
an old      study desk from
the salvos     reads like an atlas


scrunches a    piece of green
places it     in his mouth

rests his hands at     the end of the counter
&
asks

where is your country?

she   draws her
finger      to the   
    middle    of her chest    
etching     circles onto
skin

her tongue   loops
the enclave of    her cheeks

drawing    rings
across flesh   then    slips
past the white    threads
that     drip from teeth   

she gestures to the      back of her
mouth      her left palm remains
on  breast

&  says
in   here      ",Art and Science
Glory Be to the Gang Gang Gang,"In praise of all that is honest, call upon the acrylic tips
and make a minaret out of a middle finger, gold-dipped
and counting. In the name of Filet-O-Fish, pink lemonade,
the sweat on an upper lip, the backing swell and ache
of Abdul Basit Abdus Samad on cassette tape, a clean jump shot,
the fluff of Ashanti’s sideburns, the rice left in the pot
the calling cards and long waits, the seasonal burst
of baqalah-bought dates.

Every time they leave and come back
alive.

Birthmarks shaped like border disputes.
Black sand. Shah Rukh’s dimples, like bullets
taking our aunts back to those summer nights,
these blessings on blessings on blessings.

Give me the rub of calves,
rappers sampling jazz,
the char of frankincense
and everything else that makes sense
in a world that don’t.",Art and Science
The Heart Shows No Signs,"The heart, the surgeon says, does not reveal
the small rifts, the hairline cracks which

split the hairline cracks they conceal cops
and robbers in a stretch of skin flaunting

star-scars with show of blood bone
the ledges of what it holds tight in checkmate

moves: bend this and break
fight first and bleed to earn

needle  finger  wrap  caress  balm
the salvation of sight   Behold what beauty

lasts, what outlasts itself    The curtain
calls the ovation    Seize the beginning

that ends this way: off center stage above
fractured ribs the heart succumbs in silence

All is dark. Listen      a kommos sung solo
It is too late to repair anything.",Art and Science
From “Celestial House”,"The following poems and collages were created for Victoria Martinez’s solo show, Celestial House, at Loyola University Museum of Art (LUMA) as odes to the homes and Chicago neighborhoods the artists grew up in. All collages are by Victoria Martinez and all poems are by José Olivarez.

  Victoria Martinez
Pantry Secrets, 2018, collage, 15 × 10 in.



Nation of Domination

my mom hugs me & wants me to stay. i have my foot
on the pedal. a fake gold chain on my neck. i confess
i’m a sucker. i never want magicians to reveal their secrets.
i want to live in the unknowing where everything is possible.
my mom dances with me to Los Bukis. she thinks this makes
me her baby still. perspective is a magic trick. i hit my brother
with the Rock Bottom & i bet you can guess what i leave out.
ask Farooq if you need a hint. the brain is full of magic
i don’t understand. no one signs up to take a dive. in wrestling,
there’s a team of writers who decide who wins and who loses.
the metaphor is obvious. my mom wasn’t born to play the role
of mom, i don’t care how many baby dolls she played with.
i dance with my mom to Los Bukis & you’re a fool
if you believe it’s her son she’s trying to hold on to.


  Victoria Martinez
Pillow Talk, 2018, collage, 15 × 10 in.



moonshine

the poets are right about the moonlight.
i take my spot of sky & deposit it
into a savings account. only after
the bank confiscated our house
did i understand. roses
don’t grow without pricked hands.
i didn’t have to spend a summer in a freezer
packing lunch meat to know the value
of sunlight. my mom didn’t have
to spend a decade wiping down floors to appreciate
education. when i give you a bouquet of roses,
i give you a bouquet of bloody hands.
a handful of dirt & the worms that doted on your roses.
when i take my piece of sky out of the bank,
it’s smaller. the drunks are right about moonshine.


  Victoria Martinez
Hoyne, 2018, collage, 15 × 10 in.



Shelter Island

frigid are the branches of black trees cutting through
a blacker night. missing are the lampposts that adorn
every few feet of New York. cold is your hand in my hand
& yes, i am a man, & you are a woman. my wilderness
is not unlike the woods that surround us. the sky in my wild
lit by lanterns in the faces of animals. my own flammable face.
my father’s temperament. my thrifted excuse. yes,
it’s the night before 45 is sworn in as president,
& yes, we leave the city, & we would leave the planet, too.
you hold my hand & we walk into the teeth of the hour
armed with each other. bitter cold is the world we leave behind.
when we hold hands, we invent a spaceship.",Art and Science
Psalm,"I amuse myself with my country.
     I glimpse its future approaching on the eyelashes of an ostrich, I toy with its history and its days, I strike it with stones and thunderbolts. I extinguish its lamps and light its windows, and at the other end of day I inaugurate its history.

I am a stranger to all of you. I am from the other end. I live in a country of my own, inflating the sky to see its ashes, and in sleeping and waking I open a bud to live within.

Something must be born, so I bore caverns in my skin for lightning and build nests. I must pass like thunder into lips as sad as straw, between stone and autumn, between pore and epidermis, between thigh and thigh.
      And so I sing: “Form worthy of our demise—advance.”
     And so I shout and sing: “Who will give us the maternity of the cosmos, who will nourish us with mines?”

I advance toward my self, toward ruins. The silence of calamity takes me—I’m too short to gird the earth like a rope, I’m not sharp enough to pierce the face of history and plunge in.

You want me to be like you. You boil me in the cauldron of your prayers; you mix me with the broth of armies and the pepper of tyrants, then pitch me like a tent for the wali and hoist my skull like a flag.
     (My death,
     Nevertheless I run toward you, I rush rush rush to you.)

You live like flagstones, and lamentation is your air. You announce the hedgehog’s abode and sleep on the scarab’s censers—your children are immolations.

A distance as great as a mirage divides us.

I rouse hyenas in you, I rouse the gods. I sow sedition in you and suckle fever, then teach you to journey without a guide. I am a pole for your latitudes and a walking springtime. I am a convulsion in your throats, a hemorrhage in your words.


You advance like leprosy toward me, and I am the one bound to your dirt. Yet nothing unites us, everything divides us—so let me burn alone, let me pass through you like a spear of light.
     I cannot live with you, I cannot live without you. You are an undulation in my senses, and I cannot escape you. Even so, cry out, “The sea, the sea!” Even so, hang the beads of the sun on your thresholds.

Open my memory and study my face beneath its words, learn my alphabet. When you see foam weaving my flesh and stone flowing in my blood, you will see me.
      I am closed like a tree trunk, present and ungraspable like air. Thus I cannot surrender to you.

I was born in the sockets of lilacs, I grew in the orbits of lightning, I live with light and grass. I storm and I clear up, I shine and cloud over, I rain and snow—the hours are my language, and my country is day.

The people are sleeping, but if they die they’ll awaken, or so it was said. You are all sleeping, but if you awaken you’ll die, or so it shall be said.
     You are dirt on my windowpanes, and I must remove you. I am the coming morning and the map that draws itself.

Nevertheless, there’s a fever in my bowels that keeps vigil over you.
     Nevertheless, I await you,
     In the shell of night by the sea, in the roaring of the depths, in the holes in the robe of the sky, in the jujubes and acacias, in the pines and cedars, in the hearts of the waves, in the salt,
      I await you.

  Translated from the Arabic",Art and Science
Sestina in Prose,"It was like climbing a mountain to those of us who’d climbed one. To the others, it was like, I suppose, something else. In other words, we let everybody find her own figure of speech.

Not that it—speech—lay thick on the ground, or mountain; it presented itself one word at a time, far between. A body had to keep an eye out, like for firewood at dusk, or else

miss her chance. Nobody else, let’s face it, cared about metaphor, or even simile, the like-it-or-not-ness of the mountain pretty much getting between a body and her musing, in its going. One

step at a time, anyone could lose herself or someone else just staring at her feet. And if a body meet a body is not mere speech but something that could happen, like hopping a bus—though on the mountain

you’ll catch no rides, worse luck, the mountain requires to be climbed on foot, one after the other, nothing else will get you up it. There’s nothing like such obduracy but in the wild, nobody can tell you otherwise. No simple figure,

this struggle: just a crag, your burden, and your own two feet. Say otherwise, talk through your hat, which I don’t care for.",Art and Science
