The Binchōtan Charcoal & Its Ash,"There is no delusion that she wants her.
Is marriage like owning a very expensive art piece?

Your spouse the painting?
You the crooked frame that won’t fit?

Is this how desire is born?
From having less or from wanting more?

She wakes up calling her name.
She wakes up knowing that she doesn’t want less.

From House of Cards she learned a new rule: “I love that
woman. I love her more than sharks love blood.”

Or something along that line. She may have misquoted.
It came out of the pre-disgraced Kevin Spacey’s mouth.

Her God doesn’t exercise telepathy or residence.
Hands, eyes, mouths, authenticity.
It’s a city without mirrors.
Because touch, in itself, is symmetry.

—


She held the woman’s face in her mind’s eye &
realized that they would never be lovers &
as soon as she let her go, mosses grew all over
the geography of her hands and the woman’s face.

Is this because it’s a debt that must be paid for
not believing in somebody?
In herself?

She felt the desire of desire as if it was a binchōtan
charcoal and its ash.

Masakichi Yakitori
and the Pyramid Club.

—


On Easter Sunday, she sang a Christmas carol of Lao Tzu.
Lao Tzu, where is your power to persuade a tree from falling
asleep on itself?

Does night dream of actresses sleeping on leaves?
Where is the human figure in this?

Your Saturday is a memory without a body.
A pair of lungs that knew too much about your mother’s rape
tells you to leave reality through a threshold of a dream.

You knew how to be authentic. How to get rid of people.
How desertion works in the wilderness.
You exclude sound from your thesis.
It’s a way for you to desert poetry without being too poetic.

—


There were thistles inside of your mother’s vaginal canal.
She wasn’t violated in the wilderness. He has dragged her there to
say that it was okay to want pins and needles. She wasn’t numbed
after all. Her body didn’t pretend to be a God. Just a whimpered
Lao Tzu.

In a remote mountain, the men are smoking pipes and their vapors
smell like evergreen.

To punctuate their desire she says: God is being difficult. But he is
not.

I have to tell the world that I am sad and have been forgotten. Is
there a way home from not being homeless? Is there a way to swim
in an Indian reservation without being caught?

Listen: the isotope was just a trope.
There are ways to move smoothly in and out of insincerity.

We grow to learn how to brush melted butter
onto doughs shaped like the cavalry.
They arrive galloping on the baking
sheets without yeast in their armors.

—


Every Tuesday we acquire clues from the shape
of your mother’s scream.
When it was hoarse, it had the shape of a small bonsai tree.

Your cat licks you and licks you.

You know it’s not 300 bc.
Desire comes and goes while leaving lies to clothe themselves.

Her anger is a troublesome candidate of sadness—
lights itself on fire.
From time to time, the cunt of that fire grows ember by ember.

Once in a while, a house made of screams floats down a black river
on the planet Pluto.
Its chimney is not designed to ventilate silence or resilience.
It’s designed to allow screams to escape without suffocating
everyone inside it.

Once in a while the rain arrives to suppress the anger of the
scream.

When anger soaks like wet grasses on the house’s floorboard, the
ants come out to showcase their military might.

They resurrected the screams from their wet ash and carry them
on their powerful backs.
The aftermath of a rape is portable and transmutable.
A possible somatic experience for the ants, but may not be for the
human or the inhuman.",Mythology and Folklore
“Black Rapunzel Broadcasting Live from America’s Next”/“original communication”,,Mythology and Folklore
"Body of Rags, International Bridge Between the US & Mexico","                                            Is it alive?
                                                                                         —neither a head,
legs nor arms!
...................
                                                                  ... torpid against
the flange of the supporting girder         .         ?
                                          an inhuman shapelessness,
knees hugged tight up into the belly
            Egg-shaped!
—William Carlos Williams, 1950 visit to El Paso, from “Desert Music”
Yes, I am a body of rags lying
here on the bridge waiting for

a hot rain to wash me open,
dissolve me off the bridge

because this border is closed.
I rot on the boundary line

and can’t enter Juarez,
pennies thrown at me

when a drunk El Pasoan
returns in the darkness

and sees my shape that
makes him hurry across.

No head, decades ago they threw
it in the river without my screams.

My arms were the first to go
when I couldn’t climb the wall.

I can never leave this bridge.
I live on the pure line that divides

countries and grabs my hunger
from sliding into Mexico with

my outstretched hands.
I still have my knees.

I used to be sold in Juarez and
smuggled into El Paso, the egg

that floated down the Rio Grande
to break hundreds of miles away

before being thrown back.
I stay on the bridge and can’t move.

Do not cross to El Paso without wiping
your shoes of me, one foot on US

concrete, the other scraping away
at my Mexican rags.

When I struggle against the wire fence,
I make sure I salute two flags.",Mythology and Folklore
Explaining Villanelles to an Alien,"With “Waltzing Matilda,” funnel web spiders, and echidnas out of the way, you move on to the villanelle. The alien learns quickly, and soon the rhyme scheme and refrain are being applied to whatever it encounters: moonlight filling a green bucket by the door, a dog’s tooth in furniture, the sound of a nail gun. You go to bed and dream of planets disappearing like balls in a perfect snooker clearance. In the morning you find the walls papered with villanelles, each one signed by what appears to be a bar code. When you scan one with your phone, the screen lights up with footage of a satellite flyby through the heliosphere, trailing the sound of whale song, children crying, sustained applause, and Blind Willie Johnson’s “Dark Was the Night, Cold Was the Ground.”",Mythology and Folklore
From “Case Comparison”,"How do I compare the costs
Of leaving one system
Of cooperation
For another
System of cooperation?
How do I loosen the tongue
Enough to inhabit
The temple incognito?
What are the people to me
Until I condense my hesitations
And drink in stillness with
The rest of us, slightly drunk
But pacing moderately
Around the dew, dropped
To the knees at a tepid hour?
Cooperation is free, or is it
So? A refugee has no terms
Of comparison. Who really is
Aggrieved is a real fugitive
To freedom. The only enemies
Of freedom are border agents
And those dozing on one side
Of the other. The border condition
Realizes the personality.
That is why it has to be
Negotiated again in public
Houses. I tried to be loved
And everyone else failed me.
The dew is a corrosive.
It’s only obvious once
The horizon tempers
The topography again.
And this is so only when
Earthlight can be confined
By the foreground.
Allegorists are not agents
Now so much as internet vernaculars
We all get our chance to innovate.
Nations cannot be explained
Otherwise. Someone, we,
Made up the whole thing.
I want us to think we were
Liars then but are dying to
Finally grow up, no longer
Following fictions. But
Perfectly flush corroborating
Rehearsals.
The students can always
Have the data
They deserve.
What is oligarchy?
They call it up
And it clicks.
(Hear the disconsolate
fizz of epiphany
pitched out of library windows
and welfare field office exits.)
Everything can be
Said to have
Occurred. But do
They describe themselves
As belated or latent?
The reveal is just a mild
Turning in
Any case.
The air in winter
Is best for your device.
Cordon it around your
Device’s appetite.
Or there will be
A disaster
For the recollection,
Proof by perdurable
Association. (Check
the custom, or costume,
that to learn is
a bargain first fixed
in the recognition of ignorance
for which the learned refuse
to serve as models.)
Students delay excitement
Just long enough
And then they know.
You are a student
By profession.
If you insist
You deserve
A livelihood
You will be
Persecuted
For this
And that is
What has become
Of forensics.
That is the
Rootless fact.
Its reason is
Untraceable, so
Its stolid justice proffers
Souls for history’s
Paltry set of names
Of strangers. To
Assimilate novelty
Is then to obtain inventory.
What will you do
With it all?
Won’t you enjoy
The leverage it provides
So as to insist
On more?
It is not data
But esteem.
That is the remaining
Root system,
That nothing will
Have to be
Enough.",Mythology and Folklore
If You Go to Bed Hungry,"If you go to bed hungry, your soul will get up and steal cold rice from the pot.
Stop playing with fire before the moon rises or you’ll pee in your sleep.

Sweeping the floor after dark sweeps wealth and good fortune out the door.
Fork dropped: a gentleman will visit. Spoon: a bashful lady.

Bathing after you’ve cooked over a hot stove makes the veins swell.
For safe passage to the guest who leaves mid-meal: turn your plate.

The adage goes: coffee stunts growth. Twelve grapes on New Year’s: the opposite.
Advice from the learned: hide a book under your pillow. Never step on. Never drop.

Every rice grain that remains on your plate you’ll meet again on the footpath
to heaven. You’ll have to stoop to pick each one of them up.",Mythology and Folklore
Revenant,"This disease has come back
With frills and furbelows.

You must give your whole life to poetry
Only a few survive if that—

Poems I mean, paper crumpled
Shades of another water—

Far springs are what you long for,
Listening for the slow drip of chemicals

Through a hole in your chest.

If you were torn from me
I could not bear what the earth had to offer.

To be well again, what might that mean?
The flowering plum sprung from late snow,

Ratcheting trill in the blackberry bush
Blood streaks, pluck and throb of mercy.",Mythology and Folklore
"Eurydice, Run","Just like  Jesus     I   am   a time   machine     I   go   away  I   come   back     they won’t   let   me   watch    things   die
and     the  spy   in   the   spine     a   hearse   of  sense  and  rumors     a bundle      of   all   that’s    possible    in     a body
tied  to   its      back    with   the  babble    of    hypocrites        and    dirty   rivers          if    you    fall   asleep    in yellow
and    awake      in     a  bed   of   cotton  wool   with    a  star   of   nails   where     your   heart   should   go     and   the
cosmetics     of     wartime     blood  lipping wax     in    a   factory     basement    attached   to  a   slab   of   maple      you
do   not  have   to  love  that man      to  slice   his lips      and   scream        what   divination  turned  into   demon   by
ignoring    you    alone    can    remember     and      revert     to    God     I   give    the   woven   whisper   of   a kid   to
her    first   brown   doll    mounted     to     a   branch     of     song       she    sings       reasons     that   we   fear      our
feelings—   To   the  dice   in   the  tree    she  is   singing    as   the   torches   come   up  throbbing    and    grinning
a crimson  minnow   in   her   last est  lap",Mythology and Folklore
Sisyphus and the Ants,"The story tells us Sisyphus is being punished.
Over and over he has to push that boulder

up and up. The mountain and God glaring.
And you, you have

your avalanche of moods.
Pills the size of stars to nearly quell

cascade and tumult.
And still you step

gravity amplified by incline, each hazard
in the way of the boulder a reminder

it should be easier. There should be
a hot fudge sundae at the top. A long nap in the shade.

The story forgot to tell us, though, Sisyphus thrived.

He learned to guide his wrists
and shoulder girdles safely to protect himself.

And later he worked to safeguard every insect
from here to the crest. Considers this his calling.

Even as the sun and the weight of time bears down.
Your strength is kingly.",Mythology and Folklore
Study of Two Figures (Pasiphaë/Sado),"One figure is female, the other is male.

Both are contained.

One figure is mythical, the other historical.

To the extent that one can be said to have existed at all, they occupy different millennia, different continents.

But, to the extent that one can be said to have existed at all, both figures are considered Asian—one from Colchis, one from Korea.

To mention the Asianness of the figures creates a “racial marker” in the poem.

This means that the poem can no longer pass as a white poem, that different people can be expected to read the poem, that they can be expected to read the poem in different ways.

To mention the Asianness of the figures is also to mention, by implication, the Asianness of the poet.

Revealing a racial marker in a poem is like revealing a gun in a story or like revealing a nipple in a dance.

After such a revelation, the poem is about race, the story is about the gun, the dance is about the body of the dancer—it is no longer considered a dance at all and is subject to regulation.

Topics that have this gravitational quality of aboutness are known as “hot button” topics, such as race, violence, or sex.

“Hot button” is a marketing term, coined by Walter Kiechel III, in a September 1978 issue of Fortune magazine.

The term evokes laboratory animals and refers to consumer desires that need to be slaked.

The term “hot button” suggests not only the slaking of such desires but also a shock or punishment for having acted on those desires, a deterrent to further actions pursuing such desires, and by extension, a deterrent to desire itself.

Violence and sex are examples of desires and can be satisfied, punished, and deterred.

Race is not usually considered an example of desire.

Both the female and the male figures are able to articulate their desires with an unusual degree of candor and specificity.

Both are responsible for many sexual deaths.

The male figure says, “When anger grips me, I cannot contain myself. Only after I kill something—a person, perhaps an animal, even a chicken—can I calm down.... I am sad that Your Majesty does not love me and terrified when you criticize me. All this turns to anger.” “Your Majesty,” here, refers to the king, his father.

The female figure is never directly quoted, but Pseudo-Apollodorus writes that she casts a spell upon the king her husband so that when he has sex with another woman, he ejaculates wild creatures into the woman’s vagina, thereby killing her. Although the punishment is enacted on the body of the woman, this punishment is meant to deter the king from slaking his desires.

Both figures, royal themselves, are angry at the king, but neither attempts to kill the king—which would be political. Instead they displace this anger onto other unnamed deaths, which are considered sexual but not political.

Both figures have spouses known for strategy, for self-preservation in politically tumultuous times, times of many unnamed deaths.

Both figures are counterfoils to their strategizing spouses, figures of excessive desire, requiring containment.

Both containers are wooden.

Both containers are camouflaged with a soft, yielding substance—one with grass, one with fur.

Both containers are ingenious solutions to seemingly intractable problems.

One problem is political. One problem is sexual.

They are both the same problem.

They have the same solution.

The male figure waits in the container for death to come. He waits for eight days. His son will live. This ensures the succession, the frictionless transfer of power.

The female figure waits in the container for the generation of a life. We do not know how long she waits. Her son will die, after waiting in his own wooden container. This ensures the succession, the frictionless transfer of power.

There are many artistic representations of both containers.

The male figure’s container is blockish, unadorned, a household object of standard size and quotidian function. Tourists climb into it and pose for photos, post them online. The cramped position of their bodies generates a combination of horror and glee. This, in turn, creates discomfort, the recognition that horror and glee should not be combined, that such a combination is taboo.

The female figure’s container is customized, lushly contoured. Its contours are excessively articulated to the same degree that her desire is excessively articulated. Artists depict the container in cutaway view, revealing the female figure within, awaiting the wild creature. The abject position of the female figure—on all fours, pressing her genitalia back against the hollow cow’s genitalia—generates a combination of lust and revenge. This, in turn, creates discomfort—the recognition that lust and revenge should not be combined, that wild creatures and female figures should not be combined, that these combinations are taboo.

Hot button topics are taboo because they generate discomfort.

The male figure slakes his violent desires and is punished. The male figure also functions as a hot button, a means whereby the violent desires of tourists are slaked, while generating discomfort in these tourists.

The female figure slakes her sexual desires and is punished. The female figure also functions as a hot button, a means whereby the sexual desires of artists are slaked, while generating discomfort in these artists.

The tourist can climb into the rice chest. The tourist can pose for a photo in the rice chest. Then the tourist can climb out of the rice chest and walk away.

The artist can look into the hollow cow. The artist can render the contours of the hollow cow, the contours of the female figure. Then the artist can walk away.

Both containers allow the tourist and artist to touch the hot button, the taboo.

The desire and the discomfort remain contained.

Both containers allow the tourist and the artist to walk away.

The male and female figures remain contained.

Neither container—the rice chest, the hollow cow—appears to have any necessary connection to race.

To mention race where it is not necessary to mention race is taboo.

I have not mentioned the race of the tourist or the artist.

The tourist and the artist are allowed to pass for white.

The tourist and the artist are not contained.

I have already mentioned the race of the poet.

But to the extent that the poet is not contained, the poet is allowed to pass for white.

I have already mentioned the race of the male and female figures.

The male and female figures are contained.

The rice chest and the hollow cow are containers.

The rice chest and the hollow cow are not the only containers in this poem.

Colchis and Korea are containers in this poem.

Asianness is a container in this poem.

Race is a container in this poem.

Each of these containers contains desire and its satisfaction.

Each of these containers contains discomfort and deterrence.

Each of these containers contains a hot button, a taboo.

The tourist and the artist can enter each of these containers.

The tourist and the artist can touch the hot button and walk away.

Each of these containers separates the slaking of desire from the punishment of desire.

Each of these containers is an ingenious solution to a seemingly intractable problem.

They are the same problem.

They have the same solution.

Each of these containers ensures the frictionless transfer of power.

Each of these containers holds a male or female figure.

The name of the male figure can be translated as “Think of me in sadness.”

The name of the female figure can be translated as “I shine for all of you.”",Mythology and Folklore
